,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2960,Volkswagen Polo Diesel Comfortline 1.2L,2014,62000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,87273750.0
2963,BMW 3 Series 320d Luxury Line,2017,55389,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,584220750.0
2966,Maruti Swift Dzire LDI,2015,37857,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,99594750.0
2967,Maruti Swift VDI BSIV,2014,71000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,98568000.0
2969,Hyundai Grand i10 Sportz,2016,10770,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,97541250.0
2971,Hyundai EON Era Plus,2015,91000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,51337500.0
2972,Hyundai i20 1.2 Spotz,2017,14000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,122183250.0
2974,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,75136,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,126290250.0
2980,Honda Brio S MT,2014,35000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,58524750.0
2981,Chevrolet Beat LS,2012,37000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5.0,48257250.0
2982,Hyundai Creta 1.6 SX Plus Petrol Automatic,2018,32807,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,303096600.0
2983,Honda City ZX GXi,2008,119000,Petrol,Manual,Second,17.7 kmpl,1497 CC,78 bhp,5.0,46203750.0
2986,BMW 3 Series 320d,2010,73336,Diesel,Automatic,First,13.2 kmpl,1995 CC,170 bhp,5.0,219519150.0
2987,Hyundai Verna 1.6 SX VTVT,2014,9000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,112942500.0
2988,Toyota Innova 2.5 G4 Diesel 8-seater,2005,240000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,8.0,104728500.0
2989,Maruti Wagon R LXI,2014,25422,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,66738750.0
2990,Maruti Ertiga VDI,2018,14000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,189948750.0
2991,Maruti Alto LXi BSIII,2008,66000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,34909500.0
2992,Maruti A-Star Vxi,2010,55324,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,58935450.0
2997,Hyundai i10 Sportz 1.2,2010,50000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,61605000.0
2999,Toyota Etios G,2011,37000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5.0,57498000.0
3001,Maruti Swift Dzire VDI,2014,29000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,118076250.0
3002,Maruti Swift VXI,2010,68000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,57498000.0
3004,Maruti Ritz VDi,2012,64290,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,74952750.0
3005,Toyota Fortuner 4x2 Manual,2015,31000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,407619750.0
3007,Hyundai i20 Asta Option 1.2,2017,19860,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,142718250.0
3008,Maruti Wagon R LXI CNG,2014,48500,CNG,Manual,Second,26.6 km/kg,998 CC,58.16 bhp,5.0,58524750.0
3013,Maruti Celerio VXI AT,2016,30000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,71667150.0
3015,Volkswagen Polo 1.2 MPI Highline,2015,29651,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,132040050.0
3022,Toyota Fortuner 3.0 Diesel,2016,99593,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,482572500.0
3023,Hyundai Verna 1.6 SX,2014,39791,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,153807150.0
3024,Mahindra XUV500 W6 2WD,2015,113000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,222804750.0
3025,Renault KWID RXT,2017,24000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,71872500.0
3026,Hyundai i20 Asta 1.2,2015,39000,Petrol,Manual,Second,18.6 kmpl,1197 CC,81.83 bhp,5.0,129370500.0
3029,Skoda Superb Elegance 1.8 TSI AT,2016,61648,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,292213050.0
3032,Maruti Ritz LDi,2013,65000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,77006250.0
3034,Toyota Fortuner 3.0 Diesel,2011,148009,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,261821250.0
3037,Honda City i VTEC CVT VX,2015,50000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,169413750.0
3038,BMW 3 Series 320d,2013,48183,Diesel,Automatic,First,13.2 kmpl,1995 CC,170 bhp,5.0,431029649.99999994
3040,Maruti Swift VDI,2015,53500,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,110067600.0
3041,Maruti Ertiga VXI,2014,17585,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,130397250.0
3046,Hyundai i10 Magna 1.2,2017,49045,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,83577450.0
3047,Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,61399650.00000001
3049,Renault Duster 85PS Diesel RxL,2016,36600,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,153807150.0
3054,Hyundai Verna 1.6 SX VTVT,2014,11000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,125263500.0
3055,Ford Figo Petrol ZXI,2010,102016,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,46203750.0
3058,Volkswagen Polo 1.2 MPI Highline,2015,46354,Petrol,Manual,Second,16.47 kmpl,1198 CC,74 bhp,5.0,112737150.0
3059,BMW 3 Series 320d Luxury Line,2019,87000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,136968450.0
3062,Audi Q7 3.0 TDI Quattro Premium Plus,2014,51076,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,716260800.0
3064,Honda City i DTEC VX,2014,55000,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,123004650.0
3072,Hyundai EON Era Plus,2015,66510,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,60578250.0
3074,Maruti Swift VDI,2012,80799,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,100621500.0
3076,Toyota Innova 2.5 G (Diesel) 8 Seater,2013,92000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8.0,256687500.0
3087,BMW 3 Series 320d,2013,85846,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,268597800.0
3092,Honda City i VTEC SV,2015,480000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,102675000.0
3097,Maruti Wagon R LXI CNG,2012,92000,CNG,Manual,Second,26.2 km/kg,998 CC,58.2 bhp,5.0,61605000.0
3099,Hyundai i20 1.2 Magna,2011,52359,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,66738750.0
3100,Honda City i VTEC V,2016,17000,Petrol,Manual,Second,17.8 kmpl,1497 CC,117.3 bhp,5.0,169413750.0
3101,Nissan Micra Diesel XV,2011,39002,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,58524750.0
3102,Ford Figo Diesel EXI,2010,129986,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,65712000.0
3104,Maruti Swift VDI BSIV,2013,41300,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,69408300.0
3106,Skoda Superb Elegance 1.8 TSI AT,2010,67000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,96514500.0
3109,Hyundai Creta 1.6 CRDi AT SX Plus,2017,13000,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,297757500.0
3110,Maruti Swift VDI BSIV,2016,45725,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,109656900.0
3118,Maruti Ritz VDi,2011,75308,Diesel,Manual,Second,21.1 kmpl,1248 CC,73.9 bhp,5.0,57498000.0
3120,Honda City 1.5 S MT,2014,58000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,112326450.0
3124,Mahindra XUV500 W10 2WD,2016,89000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,277222500.0
3127,Maruti Vitara Brezza ZDi Plus Dual Tone,2017,35981,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,195287850.0
3128,Ford Figo Petrol ZXI,2012,23152,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5.0,49078650.0
3133,Maruti Swift Dzire VDi,2013,83327,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,119103000.0
3139,Hyundai i10 Sportz,2013,32776,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,95282400.0
3140,Honda Amaze S i-Dtech,2016,51587,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,108219449.99999999
3146,Hyundai Grand i10 Sportz,2017,33284,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,119924400.0
3148,Jaguar XF 2.2 Litre Luxury,2014,18000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,527749500.0
3149,Mahindra XUV500 W8 2WD,2013,130790,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,189743400.0
3151,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,32205,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,519740850.0
3152,Renault Duster 110PS Diesel RxZ,2013,67000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,97541250.0
3153,Maruti Swift Dzire VXI,2014,57676,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,137379150.0
3159,Volkswagen Polo 1.2 MPI Highline,2015,22000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,97541250.0
3160,Maruti Alto 800 LXI,2015,63714,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,50310750.0
3169,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,15000,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,585247500.0
3170,Chevrolet Cruze LTZ,2014,80073,Diesel,Manual,First,17.3 kmpl,1998 CC,163.7 bhp,5.0,146003850.0
3171,Maruti Ritz VDi,2013,85388,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,80086500.0
3174,Hyundai Verna 1.6 SX,2011,34994,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,80086500.0
3176,Skoda Superb Elegance 1.8 TSI AT,2013,82000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,148878750.0
3177,Maruti Wagon R LXI,2006,52000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,41070000.0
3178,Volkswagen Polo Petrol Highline 1.2L,2011,20000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,71872500.0
3181,Maruti Wagon R VXI,2014,52000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,70845750.0
3182,Maruti Swift Dzire VDI,2013,43284,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,92407500.0
3183,Hyundai Creta 1.6 SX Plus Petrol Automatic,2018,23875,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,294882600.0
3184,Hyundai Grand i10 Asta,2016,51866,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,112942500.0
3187,Volkswagen Vento Diesel Highline,2013,150000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,102675000.0
3188,Toyota Fortuner 4x2 AT,2015,47566,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,415833750.0
3193,Hyundai Elantra CRDi SX,2012,36000,Diesel,Manual,Second,22.7 kmpl,1582 CC,126.24 bhp,5.0,154012500.0
3201,Honda City i VTEC SV,2017,38424,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,154217850.0
3202,Maruti Swift VDI,2014,50000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,88300500.0
3204,Maruti Ertiga VDI,2015,58734,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,141896850.0
3205,Renault Duster 110PS Diesel RxZ,2016,65257,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,200216250.0
3206,Maruti Swift Dzire VDi,2010,130000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,82140000.0
3207,Maruti Ritz VDi,2011,79000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,74952750.0
3208,Mahindra XUV500 W8 4WD,2013,78000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,220751250.0
3209,Honda Brio S MT,2015,49133,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,92612850.0
3212,Toyota Innova 2.5 V Diesel 7-seater,2014,158793,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,266749650.0
3213,Maruti Swift VXI,2015,62088,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,85220250.0
3216,Honda Amaze S i-Vtech,2017,32005,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,87273750.0
3222,Toyota Fortuner 4x2 Manual,2013,71000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,313158750.0
3223,Maruti A-Star Vxi,2008,51366,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,46203750.0
3229,Mahindra XUV500 W8 4WD,2015,42999,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,236563200.0
3232,Hyundai Creta 1.6 CRDi SX,2019,54321,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,278043900.0
3234,Toyota Fortuner 4x2 AT,2013,116000,Diesel,Automatic,Second,12.55 kmpl,2982 CC,168.5 bhp,7.0,395298750.0
3238,Honda Amaze S i-Dtech,2015,110000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,95487750.0
3243,Maruti Swift VDI,2012,63000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,92407500.0
3245,Maruti Swift VXI BSIV,2016,29401,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,88505849.99999999
3251,Hyundai Verna 1.6 SX VTVT,2016,51000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,133477500.0
3252,Toyota Innova 2.5 G4 Diesel 8-seater,2009,185200,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,148878750.0
3258,Honda Amaze VX i-DTEC,2014,81000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,84193500.0
3261,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,60001,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,297757500.0
3262,Maruti Swift Dzire VDI,2014,75074,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,107808750.0
3264,Toyota Innova 2.5 G (Diesel) 8 Seater,2006,147350,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,8.0,101648250.0
3267,Honda Amaze S i-Dtech,2015,58000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,91380750.0
3269,Maruti Ritz VDi,2015,57034,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,89943300.0
3275,Mahindra XUV500 W8 2WD,2011,126000,Diesel,Manual,Third,16.0 kmpl,2179 CC,140 bhp,7.0,137584500.0
3276,Maruti Alto LXi,2009,63000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,30802500.0
3278,Mahindra XUV500 W8 4WD,2014,63288,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,159556950.0
3279,Hyundai Santro Xing GLS,2012,43337,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,68176200.0
3280,Maruti Swift VDI,2015,46561,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,101442900.00000001
3282,Renault KWID RXT,2016,48000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,69819000.0
3283,Maruti Swift VDI,2013,56263,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,85630950.0
3292,Honda City i VTEC CVT VX,2015,51000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,162226500.0
3294,Chevrolet Beat LT,2011,48000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5.0,36963000.0
3295,Maruti Wagon R LXI CNG,2013,62000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,57498000.0
3299,Toyota Fortuner 4x2 AT,2012,87000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,308025000.0
3301,Maruti Ertiga ZDI,2014,57000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,143745000.0
3302,Maruti Alto 800 LXI,2016,9370,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,60578250.0
3306,Hyundai Creta 1.6 CRDi SX,2017,37247,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,281124150.0
3307,Toyota Etios Liva GD,2013,64000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,5.0,63658500.0
3309,Hyundai Creta 1.6 CRDi SX Option,2017,40158,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,282356250.0
3312,Mahindra XUV500 W6 2WD,2015,82000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,179681250.0
3315,Maruti Ertiga VDI,2012,168000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,92407500.0
3317,Toyota Fortuner 4x2 AT,2014,89540,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,344988000.0
3318,Maruti Ertiga ZDI,2016,85423,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,179681250.0
3320,Hyundai i10 Magna 1.2,2011,35082,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,45382350.0
3327,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,65000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,104728500.0
3329,Hyundai Grand i10 CRDi Sportz,2016,75700,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,117049500.0
3336,Hyundai i10 Magna 1.2,2013,75049,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,61605000.0
3340,Maruti Swift Dzire LDI,2017,57000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,87273750.0
3346,Volkswagen Vento Diesel Highline,2012,115000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5.0,88916550.0
3350,Hyundai Grand i10 Sportz,2015,15000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,100621500.0
3352,Renault KWID RXT,2016,12500,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,61605000.0
3354,Volkswagen Vento Petrol Highline,2011,54211,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,68381550.0
3357,Hyundai Verna 1.6 SX,2012,65000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,127317000.0
3359,Maruti Wagon R LXI,2010,71000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,41070000.0
3362,BMW X1 sDrive20d,2013,43000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,359362500.0
3364,Hyundai i10 Magna,2014,51000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,77006250.0
3366,Honda City i DTEC SV,2014,25000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,126290250.0
3367,Maruti Alto K10 2010-2014 VXI,2012,12600,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,49284000.0
3370,Ford Figo Petrol ZXI,2011,32000,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5.0,44150250.0
3375,Honda Amaze S i-Dtech,2014,61000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,89327250.0
3385,Volkswagen Polo 1.2 MPI Highline,2018,22734,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,154628550.0
3386,Renault Duster 110PS Diesel RxL,2014,58002,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,5.0,118076250.0
3397,Ford Figo Diesel EXI,2010,78000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,46203750.0
3399,Volkswagen Polo 1.2 MPI Highline,2015,27000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,89327250.0
3400,BMW X1 sDrive20d,2012,22000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,236152500.0
3401,Honda City i VTEC SV,2014,49000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,97541250.0
3412,Toyota Etios G,2013,56344,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5.0,93844950.0
3414,Hyundai i10 Sportz,2012,53000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,65712000.0
3415,Maruti Swift VDI BSIV,2016,67906,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,115612050.0
3417,BMW 3 Series 320d,2010,67000,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,5.0,189948750.0
3419,Maruti Alto 800 LXI,2015,61000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,44150250.0
3420,Volkswagen Polo Diesel Highline 1.2L,2010,39000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,62631750.0
3422,Hyundai Santro Xing GLS,2008,80931,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,47230500.0
3427,Ford Figo Diesel EXI,2015,84000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,78033000.0
3431,Hyundai i20 Asta 1.4 CRDi,2013,129000,Diesel,Manual,Third,21.27 kmpl,1396 CC,88.76 bhp,5.0,84398850.0
3434,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,462037500.0
3438,Honda Amaze S i-Dtech,2013,39575,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,66738750.0
3440,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,70374,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,150726900.0
3443,Toyota Innova 2.5 V Diesel 8-seater,2011,122000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,220751250.0
3449,Volkswagen Polo Petrol Highline 1.2L,2013,74000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,95487750.0
3452,Maruti Swift Dzire VXI,2014,33000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,81934650.0
3455,Maruti Wagon R LXI CNG,2014,41000,CNG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,5.0,71872500.0
3458,Renault Duster 110PS Diesel RxL,2014,142000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,123210000.0
3459,Hyundai i10 Sportz,2010,26966,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,61605000.0
3463,Volkswagen Polo Petrol Comfortline 1.2L,2016,26981,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,126495600.0
3464,Maruti Ritz VDi,2010,110471,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,71872500.0
3467,Renault Duster 85PS Diesel RxL,2014,77500,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,135531000.0
3477,Mahindra XUV500 W8 4WD,2015,84725,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,238206000.0
3478,Hyundai Elantra CRDi SX,2013,40000,Diesel,Manual,Second,22.7 kmpl,1582 CC,126.24 bhp,5.0,142718250.0
3480,Hyundai Grand i10 1.2 Kappa Sportz,2014,33496,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,112942500.0
3481,Hyundai i20 Asta Option 1.2,2015,25000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,116022750.0
3484,Hyundai Creta 1.6 CRDi SX,2016,42244,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,246420000.0
3486,Toyota Fortuner 3.0 Diesel,2011,62100,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,220751250.0
3492,Audi A4 2.0 TDI Multitronic,2012,74002,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,379897500.0
3494,Hyundai Verna 1.6 SX,2012,83678,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,112942500.0
3495,Maruti Wagon R LXI BS IV,2010,91000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,47230500.0
3498,Maruti Swift VDI,2012,80000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,87273750.0
3499,Mahindra XUV500 W6 2WD,2017,41290,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,224652900.0
3500,BMW 5 Series 520d Luxury Line,2013,65000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,436574100.00000006
3502,Hyundai i20 Asta 1.4 CRDi,2015,54339,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,123210000.0
3504,Maruti Alto 800 2016-2019 LXI,2013,24027,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,41275349.99999999
3506,Maruti Wagon R VXI BS IV,2012,40000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,48257250.0
3510,Hyundai Creta 1.6 SX Plus Petrol Automatic,2016,27000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,235125750.0
